Date,Open,High,Low,Close,Volume
21/11/06,24.7,24.5,23.5,23.5,4000
22/11/06,23.5,24.2,22.5,24.2,4500
27/11/06,24.2,24.9,24.9,24.9,500
28/11/06,24.9,23.75,23.7,23.7,2000
29/11/06,23.7,23,23,23,4000
4/12/06,23,24.15,24.1,24.15,4500
5/12/06,24.15,24.15,24.15,24.15,1500
6/12/06,24.15,24,24,24,4000
8/12/06,24,24.5,24.05,24.05,1000
11/12/06,24.05,25,25,25,1000
12/12/06,25,26.25,25,25.75,7500
13/12/06,25.75,27,27,27,4500
14/12/06,27,28.35,28.25,28.35,7500
15/12/06,28.35,29.65,29.4,29.5,7000
18/12/06,29.5,29.25,28.1,28.1,4500
19/12/06,28.1,26.7,26.7,26.7,1000
20/12/06,26.7,27,27,27,1000
22/12/06,27,26.8,26.8,26.8,500
26/12/06,26.8,28.1,25.6,25.6,27500
27/12/06,25.6,25.7,24.65,25.7,11000
28/12/06,25.7,25.9,25.9,25.9,2000
29/12/06,25.9,25.5,24.65,24.65,14500
3/1/07,24.65,23.45,23.45,23.45,1500
4/1/07,23.45,23,22.3,22.6,10500
8/1/07,22.6,23,22,22,3000
9/1/07,22,22.15,22.15,22.15,500
10/1/07,22.15,22.25,22.25,22.25,0
11/1/07,22.25,22.25,21.15,21.15,19000
12/1/07,21.15,20.5,20.1,20.1,6500
15/1/07,20.1,21,20.95,21,2000
16/1/07,21,22,22,22,1500
17/1/07,22,23.05,22.1,22.1,2000
26/1/07,19.6,18.6,18.6,18.6,500
31/1/07,18.6,17.65,17.65,17.65,1000
1/2/07,17.65,17.5,17.5,17.5,3000
6/2/07,17.5,18,18,18,500
7/2/07,18,17.95,17.95,17.95,0
8/2/07,17.95,17,17,17,3500
9/2/07,17,17.95,17.75,17.95,1500
27/2/07,17.95,16.95,16.95,16.95,2000
20/3/07,16.95,16.5,16.5,16.5,500
21/3/07,16.5,17,17,17,500
27/3/07,17,17.5,17,17,1000
28/3/07,17,17.45,17.45,17.45,10000
10/4/07,17.45,18,16.45,18,1500
11/4/07,18,17,17,17,1000
12/4/07,17,16.1,16,16,3500
13/4/07,16,15.5,15,15,11500
16/4/07,15,16,14,16,25000
17/4/07,16,16,15.75,15.75,2000
18/4/07,15.75,16.75,16.4,16.7,5000
19/4/07,16.7,16.7,16.7,16.7,500
20/4/07,16.7,17.5,17,17.5,1000
23/4/07,17.5,17.6,17,17,2500
24/4/07,17,17.3,16.5,17.3,4000
25/4/07,17.3,17.05,17,17,1500
30/4/07,17,16.35,16,16,2500
3/5/07,16,16.7,16.7,16.7,1000
4/5/07,16.7,16.5,16,16,4000
10/5/07,16,16.25,16,16,1000
21/5/07,16,16.8,16.5,16.8,2500
22/5/07,16.8,17.75,17,17,1000
23/5/07,17,18,16.5,18,2000
24/5/07,18,18.9,18.4,18.5,11500
25/5/07,18.5,19.5,19.2,19.2,5000
28/5/07,19.2,20.2,18.3,20.2,66000
29/5/07,20.2,20.8,19.2,20.8,18500
30/5/07,20.8,19.8,19.8,19.8,2000
31/5/07,19.8,19,18.8,19,41000
1/6/07,19,18.55,18,18,8500
4/6/07,18,18.45,17.25,18.45,2000
6/6/07,18.45,19,19,19,500
7/6/07,19,18.95,18.95,18.95,0
8/6/07,18.95,19.75,18.7,19.75,2500
11/6/07,19.75,20.2,18.75,20.2,11000
12/6/07,20.2,20.6,19.2,20.6,7500
13/6/07,20.6,21.6,19.6,21.2,219000
14/6/07,21.2,21.15,20.5,20.5,7000
15/6/07,20.5,19.6,19.5,19.5,3000
19/6/07,19.5,18.8,18.5,18.5,4500
20/6/07,18.5,18.5,18.5,18.5,15000
21/6/07,18.5,17.6,17.5,17.5,14000
22/6/07,17.5,16.7,16.7,16.7,500
25/6/07,16.7,17.6,16.95,16.95,6000
26/6/07,16.95,16.8,16,16,9000
27/6/07,16,15.5,15.3,15.4,5000
28/6/07,15.4,16,14.6,14.65,38500
29/6/07,14.65,15.45,15,15,1500
2/7/07,15,15.75,15.65,15.7,3500
3/7/07,15.7,15.7,15.7,15.7,1000
4/7/07,15.7,16,16,16,3000
5/7/07,16,16.4,16.3,16.4,2500
6/7/07,16.4,17.4,17,17.4,7500
9/7/07,17.4,18.4,18,18.4,11000
10/7/07,18.4,19.4,18.55,19.35,11500
11/7/07,19.35,20.05,18.75,20,18500
12/7/07,20,20,19.6,19.6,1500
13/7/07,19.6,18.75,18.75,18.75,500
16/7/07,18.75,18,18,18,5000
17/7/07,18,18,17.8,17.8,3000
18/7/07,17.8,17.4,17,17,3500
19/7/07,17,16.1,16.1,16.1,1000
24/7/07,16.1,16.15,16.15,16.15,0
25/7/07,16.15,16.8,15.75,15.75,12000
26/7/07,15.75,16,16,16,2000
30/7/07,16,15,15,15,5500
31/7/07,15,14.5,14,14.5,6500
1/8/07,14.5,14.6,14.4,14.6,2000
2/8/07,14.6,15,14,15,2000
6/8/07,15,14.55,14.5,14.5,1500
7/8/07,14.5,14.25,14.25,14.25,1000
